Code;Bezeichnung;Leistung_Einheit;Kosten_CHF_h;Treibstoff_CHF_h;Flaechenleistung_ha_h
1128;Schneefräse, Benzin, 10 kW (14 PS), Raupen, Profiausführung;10 kW;24.0;5.25;1.0
1129;Rasentraktor, Schnittbreite 90–120 cm, 9–15 kW (13–20 PS);12 kW;18.0;6.3;1.0
1140;Motor-Kleingeräte;;0.0;0.0;10.0
1141;Kettensäge, Schwert 0.4 m, Benzin, 2 kW (3 PS);2 kW;12.5;3.87;10.0
1142;Kettensäge, Schwert 0.5 m, Benzin, 4 kW (5 PS);4 kW;20.0;7.73;10.0
1143;Kettensäge, Schwert 0.6 m, Benzin, 5 kW (7 PS);5 kW;23.0;9.66;10.0
1144;Rindenschälgerät mit Motorsäge, 4 kW (5 PS);2 m³/h;21.5;7.73;5.0
1145;Motorsense, Benzin, 2 kW (3 PS);2 kW;12.5;3.38;10.0
1146;Forstfreischneider, Benzin, 3 kW (4 PS);3 kW;15.0;6.52;10.0
1147;Rückensprühgerät, 25 l, Benzin, 0.7 kW (1 PS);2 kW;16.5;4.35;1.0
1148;Blasgerät, Rucksackbläser, 3 kW (4 PS);3 kW;14.5;6.52;1.0
1149;Pflanzlochbohrer, Benzin, 4 kW (5 PS);4 kW;16.0;8.7;1.0
1160;Geländefahrzeuge und Viehtransporter;;0.0;0.0;100.0
1161;Gelände-Allzweckfahrzeug, Benzin, 10 kW (14 PS);;25.0;5.25;1000.0
1162;Gelände-Allzweckfahrzeug, Diesel, 15 kW (20 PS);;32.0;4.73;1000.0
1163;Geländewagen, Pick-up, Diesel, 125 kW (170 PS);60 km/h;46.0;0.0;1.0
1164;Geländewagen, Diesel, 140 kW (190 PS);60 km/h;54.0;0.0;1.0
1165;Viehtransporter, 3.5 t, Diesel, 84 kW (um 130 PS);50 km/h;62.0;0.0;1.0
2010;Frontlader und Anbaugeräte;;0.0;0.0;20.0
2011;Frontlader, leicht, ohne Anbaugerät, bis 48 kW (65 PS); ;12.0;0.0;20.0
2012;Frontlader, mittel, ohne Anbaugerät, 49–66 kW (66–90 PS); ;13.0;0.0;50.0
2013;Frontlader, schwer, ohne Anbaugerät, > 66 kW (90 PS); ;13.0;0.0;20.0
2014;Mistgabel zu Frontlader, 1.7–2 m;;3.1;0.0;20.0
2015;Transportgabel für Grossballen zu Frontlader; ;5.9;0.0;20.0
2016;Erdschaufel zu Frontlader, 1.9–2.5 m;;3.6;0.0;20.0
2017;Silozange zu Frontlader, 1.2–1.8 m;;7.1;0.0;50.0
2018;Krokodilzange zu Frontlader, 1.2–2.2 m;;7.1;0.0;20.0
2019;Ballenspiess zu Frontlader;;3.0;0.0;1.0
2020;Rundballenzange zu Frontlader; ;7.8;0.0;1.0
2021;Palettgabel zu Frontlader;;4.3;0.0;1.0
2030;Geräte für Dreipunktanbau;;0.0;0.0;50.0
2031;Transportgabel für Grossballen; ;2.8;0.0;100.0
2032;Grossballengreifer, 1.5–2 m;;10.1;0.0;50.0
2033;Entnahme- und Verteilgerät zu Flachsilo, 1.8–2.3 m3; ;19.5;0.0;20.0
2034;Kippschaufel, 2 m; ;4.0;0.0;20.0
2035;Hecklader mit Mistgabel; ;10.7;0.0;20.0
2036;Hecklader, hydraulisch; ;10.0;0.0;10.0
2037;Hubstapler, Heckanbau, 3 m Hubhöhe; ;7.8;0.0;1.0
2039;Planierschild zu Traktor, 2 m; ;10.0;0.0;1.0
2050;Zusatzgeräte zu Transporter;;0.0;0.0;30.0
2052;Kippbrücke  (Metall); ;16.5;0.0;40.0
2053;Aufbaukran zu Kippbrücke, Dreipunktanbau; ;17.5;0.0;1.0
2070;Geräte für Schneeräumung;;0.0;0.0;1.0
2071;Schneepflug zu Traktor bis 59 kW (80 PS); ;24.0;0.0;50.0
2072;Schneepflug zu Traktor, 60–88 kW (80–120 PS); ;33.0;0.0;50.0
2073;Schneepflug zu Traktor, ≥ 89 kW (120 PS); ;36.0;0.0;25.0
2074;Schneeschleuder zu Traktor, 41–80 kW (56–109 PS); ;43.0;0.0;25.0
2075;Schneeschleuder zu Traktor, > 80 kW (109 PS); ;58.0;0.0;20.0
2076;Salzstreuer, bis  600 l;;11.5;0.0;20.0
2077;Tellerstreuer für Salz und Split, 1000–1400 l;;28.0;0.0;50.0
2078;"Schneeketten zu Traktor, vorne (Paar), Bereifung 280–440 R 24""";;21.0;0.0;50.0
2079;"Schneeketten zu Traktor, hinten (Paar), Bereifung 420–540 R 34"""; ;24.0;0.0;1.0
2100;Zusatzgeräte zu Motoreinachser;;0.0;0.0;1.0
2101;Mähwerk, 1.9 m;50 a/h;19.0;0.0;0.5
2102;Breitspurmähwerk, Doppelmesser, zu Motor-Einachser, 2–2.5 m;80 a/h;22.5;0.0;0.8
2104;Kommunal-Mähbalken, 1.2 m;30 a/h;7.1;0.0;0.3
2106;Bandrechen, 180 cm;50 a/h;17.0;0.0;0.5
2116;#Heuschieber mit Pick-up, 1.5 m  ;45 a/h;14.5;0.0;0.45
2114;Abräumgerät mit Pick-up und Querförderband, 2 m ;60 a/h;24.0;0.0;0.6
2107;Bandeingrasvorrichtung, 1.9 m;;0.0;0.0;30.0
2117;#Übersaatgerät mit Walze, 1.4 m;70 a/h;125.0;0.0;0.7
2110;Bodenfräse, 70–110 cm; ;0.0;0.0;20.0
2115;Schlegelmulcher, 90–110 cm; ;13.0;0.0;20.0
2111;Schneepflug, 1.3 m; ;7.5;0.0;20.0
2112;Schneefräse, 60–85 cm; ;11.0;0.0;1.0
2113;Schneefräse, 1 m; ;13.5;0.0;1.0
3000;Transportanhänger (Angaben in Nutzlast);;0.0;0.0;90.0
3002;Anhänger 1-achsig, 7 t, hydraulisch kippbar;1 Fu/h;39.0;0.0;90.0
3004;Anhänger 2-achsig, 5 t, hydraulisch kippbar;1 Fu/h;48.0;0.0;60.0
3006;Anhänger 2-achsig, 8 t, hydraulisch kippbar;1 Fu/h;50.0;0.0;90.0
3008;Anhänger 2-achsig, 10 t, hydraulisch kippbar;1 Fu/h;57.0;0.0;60.0
3009;Anhänger 2-achsig, > 10 t, hydraulisch kippbar;1 Fu/h;62.0;0.0;90.0
3010;Anhänger Tandem, 2-achsig, 10 t, hydraulisch kippbar;1 Fu/h;52.0;0.0;60.0
3011;Anhänger Tandem, 2-achsig, 15 t, hydraulisch kippbar;1 Fu/h;52.0;0.0;60.0
3012;Autoanhänger;1 Fu/h;15.0;0.0;60.0
3013;Lenk-Triebachsanhänger an Traktor, ohne Aufbau;3 Fu/h;23.0;0.0;60.0
3014;Häcksel- bzw. Bunkeraufsatz zu Pneuwagen;1.5 Fu/h;10.0;0.0;90.0
3020;Muldenkipper, Hakengeräte (Nutzlast);;0.0;0.0;1.0
3021;Anhänger Tandem, 2-achsig, 12 t, hydraulisch kippbar;1 Fu/h;43.0;0.0;1.0
3022;Anhänger Tandem, 2-achsig, 15 t, hydraulisch kippbar;1 Fu/h;52.0;0.0;100.0
3023;Anhänger 3-achsig (Tridem), 20 t, hydraulisch kippbar;1 Fu/h;68.0;0.0;100.0
3025;Hakengerät um 15 t, mit Container, 25 m3;1 Fu/h;59.0;0.0;100.0
3026;Hakengerät um 22 t, mit Container, 25 m3;1 Fu/h;91.0;0.0;200.0
3040;Viehtransport- und Tränkewagen;;0.0;0.0;1.0
3041;Viehtransportwagen für zwei Kühe;1 Fu/h;14.0;0.0;30.0
3042;Viehtransportwagen bis 7 Grossviehpl.;1 Fu/h;27.0;0.0;30.0
3043;Viehtransportwagen bis 11 Grossviehpl.;1 Fu/h;41.0;0.0;30.0
3045;Tränkewagen, 1000 l; ;0.0;0.0;50.0
3046;Tränkewagen, 2000 l; ;0.0;0.0;50.0
3047;Tränkewagen, 4000 l; ;0.0;0.0;50.0
4000;Grubber, Tiefenlockerer und Spatenmaschinen;;0.0;0.0;1.0
4001;Untergrundlockerer, Drainagepflug, schwere Ausführung, 70 cm Tiefe;35 a/h;12.0;0.0;0.35
4002;Tiefenlockerer, 3 m;55 a/h;41.0;0.0;0.55
4004;Grubber mit Nachläufer, 2.5 m;119 a/h;46.0;0.0;1.19
4005;Grubber mit Nachläufer, 3 m;140 a/h;66.0;0.0;1.4
4006;Spatenmaschine, 2 m;30 a/h;49.0;0.0;0.3
4007;Spatenmaschine, 3 m;45 a/h;87.0;0.0;0.45
4020;Pflüge;;0.0;0.0;1.0
4021;Pflug, 2-scharig;32 a/h;25.0;0.0;0.32
4022;Pflug, 3-scharig;47 a/h;49.0;0.0;0.47
4023;Pflug, 4-scharig;62 a/h;73.0;0.0;0.62
4024;Pflug, 5-scharig;78 a/h;105.0;0.0;0.78
