Hersteller;Modell_Nr;Typ;Handelsname;Nenndrehzahl_rpm;Motor_Nennleistung_kW;Max_Druck_mbar;Vol_2mbar;Pwr_2mbar;Vol_3mbar;Pwr_3mbar;Vol_4mbar;Pwr_4mbar;Vol_5mbar;Pwr_5mbar;Vol_6mbar;Pwr_6mbar;Vol_7mbar;Pwr_7mbar;Vol_8mbar;Pwr_8mbar
Zumstein;1610H;RE;RLZ 73 E;887;15;15.4;14.3;12.7;13.8;13.4;13.3;14;12.8;14.5;12.3;15;11.8;15.5;11.2;15.9
Zumstein;1121;RD;RLZ 115;835;9;9.4;15.2;8.9;14.4;9.5;13.5;10.1;12.4;10.3;11.5;10.7;10.3;10.8;8.9;10.5
Zumstein;1122S;RD;RLZ 130-1;672;7.5;7.1;16.3;7.7;15;8.2;13.7;8.7;12.3;9.3;10.3;9.1;7.4;8.3;;
Zumstein;1190T;RD;RLZ 115-1;835;10;9.1;15.9;9.1;14.9;9.8;14;10.4;13;10.7;11.9;11.1;10.5;11.1;8.9;10.8
Zumstein;1121H;RD;RLZ 115;870;10;10.2;15.9;9.9;15.2;10.6;14.4;11.3;13.5;11.6;12.4;11.9;11.4;12.2;10.2;12.1
Zumstein;1122U;RD;RLZ 130-1;705;9;7.8;17.3;8.7;16.2;9.3;14.9;9.9;13.5;10.4;11.9;10.7;9.9;10.4;;
Zumstein;1121J;RD;RLZ 115;900;11;11;16.6;10.9;15.9;11.6;15.1;12.3;14.3;12.8;13.2;13;12.3;13.4;11.3;13.5
Zumstein;1190;RD;RLZ 115-1;885;11;10.2;17.1;10.7;16.2;11.4;15.3;12.1;14.3;12.5;13.4;13;12.3;13.3;10.9;13.2
Zumstein;1122T;RD;RLZ 130-1;725;10;8.3;17.9;9.3;16.8;10.1;15.5;10.6;14.3;11.2;12.9;11.6;11;11.5;8.5;10.7
Zumstein;1122K;RD;RLZ 130-1;748;11;8.8;18.6;10.1;17.6;11;16.3;11.4;15.2;12.1;13.9;12.7;12.2;12.7;10.2;12.3
Zumstein;1124T;RD;RLZ 140;611;11;7.8;21.9;10.8;20.4;11.5;18.7;12.2;17;12.8;14.8;13;11.9;12.6;;
Zumstein;1123K;RD;RLZ 130;814;15;10.6;20.9;12.8;19.9;13.7;19;14.5;17.9;15;16.8;15.7;15.7;16.3;14.5;16.7
Zumstein;1124;RD;RLZ 140;675;15;9.6;24.7;14.1;23.6;15.1;22;15.7;20.4;16.6;18.9;17.2;17.1;17.5;14.8;17.4
Zumstein;1124H;RD;RLZ 140;730;18.5;11.2;27.2;17.6;26.1;18.5;24.8;19.4;23.3;20.2;21.9;21.1;20.5;21.7;18.8;22.1
Zumstein;1189;RD;RLZ 140-1;735;18.5;11.1;28.2;17.4;26.8;18.2;25.4;19.2;24;19.8;22.6;20.7;21.2;21.6;19.5;22
